"tecnologia","categoria","asimetria_pp","par"
"IoT","Fabricação de celulose, papel e produtos de papel",-1.1,"admin_projeto"
"IoT","Fabricação de celulose, papel e produtos de papel",-10.8,"projeto_producao"
"IoT","Impressão e reprodução de gravações",2.6,"admin_producao"
"IoT","Impressão e reprodução de gravações",3.7,"admin_projeto"
"IoT","Impressão e reprodução de gravações",-1.1,"projeto_producao"
"IoT","Fabricação de coque, de produtos derivados do petróleo e de biocombustíveis",-16,"admin_producao"
"IoT","Fabricação de coque, de produtos derivados do petróleo e de biocombustíveis",-0.9,"admin_projeto"
"IoT","Fabricação de coque, de produtos derivados do petróleo e de biocombustíveis",-15.1,"projeto_producao"
"IoT","Fabricação de produtos químicos",-6.9,"admin_producao"
"IoT","Fabricação de produtos químicos",0.7,"admin_projeto"
"IoT","Fabricação de produtos químicos",-7.6,"projeto_producao"
"IoT","Fabricação de produtos farmoquímicos e farmacêuticos",-23.4,"admin_producao"
"IoT","Fabricação de produtos farmoquímicos e farmacêuticos",-8.3,"admin_projeto"
"IoT","Fabricação de produtos farmoquímicos e farmacêuticos",-15.1,"projeto_producao"
"IoT","Fabricação de artigos de borracha e plástico",-3.3,"admin_producao"
"IoT","Fabricação de artigos de borracha e plástico",-3.1,"admin_projeto"
"IoT","Fabricação de artigos de borracha e plástico",-0.2,"projeto_producao"
"IoT","Fabricação de produtos de minerais não-metálicos",-3.3,"admin_producao"
"IoT","Fabricação de produtos de minerais não-metálicos",11.9,"admin_projeto"
"IoT","Fabricação de produtos de minerais não-metálicos",-15.2,"projeto_producao"
"IoT","Metalurgia",-12.9,"admin_producao"
"IoT","Metalurgia",-7.2,"admin_projeto"
"IoT","Metalurgia",-5.7,"projeto_producao"
"IoT","Fabricação de produtos de metal",-0.8,"admin_producao"
"IoT","Fabricação de produtos de metal",12.5,"admin_projeto"
"IoT","Fabricação de produtos de metal",-13.3,"projeto_producao"
"IoT","Fabricação de equipamentos de informática, produtos eletrônicos e ópticos",-10.2,"admin_producao"
"IoT","Fabricação de equipamentos de informática, produtos eletrônicos e ópticos",-8.5,"admin_projeto"
"IoT","Fabricação de equipamentos de informática, produtos eletrônicos e ópticos",-1.7,"projeto_producao"
"IoT","Fabricação de máquinas, aparelhos e materiais elétricos",-12.5,"admin_producao"
"IoT","Fabricação de máquinas, aparelhos e materiais elétricos",-2,"admin_projeto"
"IoT","Fabricação de máquinas, aparelhos e materiais elétricos",-10.5,"projeto_producao"
"IoT","Fabricação de máquinas e equipamentos",-5.1,"admin_producao"
"IoT","Fabricação de máquinas e equipamentos",-9,"admin_projeto"
"IoT","Fabricação de máquinas e equipamentos",3.9,"projeto_producao"
"IoT","Fabricação de veículos automotores, reboques e carrocerias",0.2,"admin_producao"
"IoT","Fabricação de veículos automotores, reboques e carrocerias",2.4,"admin_projeto"
"IoT","Fabricação de veículos automotores, reboques e carrocerias",-2.2,"projeto_producao"
"IoT","Fabricação de outros equipamentos de transporte",-1.3,"admin_producao"
"IoT","Fabricação de outros equipamentos de transporte",13.8,"admin_projeto"
"IoT","Fabricação de outros equipamentos de transporte",-15.1,"projeto_producao"
"IoT","Fabricação de móveis",2.5,"admin_producao"
"IoT","Fabricação de móveis",3.4,"admin_projeto"
"IoT","Fabricação de móveis",-0.9,"projeto_producao"
"IoT","Fabricação de produtos diversos",5.1,"admin_producao"
"IoT","Fabricação de produtos diversos",2.5,"admin_projeto"
"IoT","Fabricação de produtos diversos",2.6,"projeto_producao"
"IoT","Manutenção, reparação e instalação de máquinas e equipamentos",11.1,"admin_producao"
"IoT","Manutenção, reparação e instalação de máquinas e equipamentos",6.9,"admin_projeto"
"IoT","Manutenção, reparação e instalação de máquinas e equipamentos",4.2,"projeto_producao"
"Manufatura aditiva","Fabricação de produtos alimentícios",-3.4,"admin_producao"
"Manufatura aditiva","Fabricação de produtos alimentícios",-5.6,"admin_projeto"
"Manufatura aditiva","Fabricação de produtos alimentícios",2.2,"projeto_producao"
"Manufatura aditiva","Fabricação de bebidas",-15.5,"admin_producao"
"Manufatura aditiva","Fabricação de bebidas",-6.5,"admin_projeto"
"Manufatura aditiva","Fabricação de bebidas",-9,"projeto_producao"
"Manufatura aditiva","Fabricação de produtos do fumo",0,"admin_producao"
"Manufatura aditiva","Fabricação de produtos do fumo",-4.6,"admin_projeto"
"Manufatura aditiva","Fabricação de produtos do fumo",4.6,"projeto_producao"
"Manufatura aditiva","Fabricação de produtos têxteis",-4.6,"admin_producao"
"Manufatura aditiva","Fabricação de produtos têxteis",0.7,"admin_projeto"
"Manufatura aditiva","Fabricação de produtos têxteis",-5.3,"projeto_producao"
"Manufatura aditiva","Confecção de artigos do vestuário e acessórios",-3.4,"admin_producao"
"Manufatura aditiva","Confecção de artigos do vestuário e acessórios",-3.6,"admin_projeto"
"Manufatura aditiva","Confecção de artigos do vestuário e acessórios",0.2,"projeto_producao"
"Manufatura aditiva","Preparação de couros e fabricação de artefatos de couro, artigos de viagem e calçados",-9.4,"admin_producao"
"Manufatura aditiva","Preparação de couros e fabricação de artefatos de couro, artigos de viagem e calçados",-33,"admin_projeto"
"Manufatura aditiva","Preparação de couros e fabricação de artefatos de couro, artigos de viagem e calçados",23.6,"projeto_producao"
"Manufatura aditiva","Fabricação de produtos de madeira",-4.8,"admin_producao"
"Manufatura aditiva","Fabricação de produtos de madeira",-8.7,"admin_projeto"
"Manufatura aditiva","Fabricação de produtos de madeira",3.9,"projeto_producao"
"Manufatura aditiva","Fabricação de celulose, papel e produtos de papel",-5.7,"admin_producao"
"Manufatura aditiva","Fabricação de celulose, papel e produtos de papel",-7.9,"admin_projeto"
"Manufatura aditiva","Fabricação de celulose, papel e produtos de papel",2.2,"projeto_producao"
"Manufatura aditiva","Impressão e reprodução de gravações",-5.1,"admin_producao"
"Manufatura aditiva","Impressão e reprodução de gravações",-21.9,"admin_projeto"
"Manufatura aditiva","Impressão e reprodução de gravações",16.8,"projeto_producao"
"Manufatura aditiva","Fabricação de coque, de produtos derivados do petróleo e de biocombustíveis",-0.7,"admin_producao"
"Manufatura aditiva","Fabricação de coque, de produtos derivados do petróleo e de biocombustíveis",-0.7,"admin_projeto"
"Manufatura aditiva","Fabricação de coque, de produtos derivados do petróleo e de biocombustíveis",0,"projeto_producao"
"Manufatura aditiva","Fabricação de produtos químicos",-6.8,"admin_producao"
"Manufatura aditiva","Fabricação de produtos químicos",-14.4,"admin_projeto"
"Manufatura aditiva","Fabricação de produtos químicos",7.6,"projeto_producao"
"Manufatura aditiva","Fabricação de produtos farmoquímicos e farmacêuticos",-6.8,"admin_producao"
"Manufatura aditiva","Fabricação de produtos farmoquímicos e farmacêuticos",-8.3,"admin_projeto"
"Manufatura aditiva","Fabricação de produtos farmoquímicos e farmacêuticos",1.5,"projeto_producao"
"Manufatura aditiva","Fabricação de artigos de borracha e plástico",-12.9,"admin_producao"
"Manufatura aditiva","Fabricação de artigos de borracha e plástico",-24.6,"admin_projeto"
"Manufatura aditiva","Fabricação de artigos de borracha e plástico",11.7,"projeto_producao"
"Manufatura aditiva","Fabricação de produtos de minerais não-metálicos",-5.5,"admin_producao"
"Manufatura aditiva","Fabricação de produtos de minerais não-metálicos",-11.2,"admin_projeto"
"Manufatura aditiva","Fabricação de produtos de minerais não-metálicos",5.7,"projeto_producao"
"Manufatura aditiva","Metalurgia",-8.3,"admin_producao"
"Manufatura aditiva","Metalurgia",-12.8,"admin_projeto"
"Manufatura aditiva","Metalurgia",4.5,"projeto_producao"
"Manufatura aditiva","Fabricação de produtos de metal",-10.1,"admin_producao"
"Manufatura aditiva","Fabricação de produtos de metal",-10.1,"admin_projeto"
"Manufatura aditiva","Fabricação de produtos de metal",0,"projeto_producao"
"Manufatura aditiva","Fabricação de equipamentos de informática, produtos eletrônicos e ópticos",-30.3,"admin_producao"
"Manufatura aditiva","Fabricação de equipamentos de informática, produtos eletrônicos e ópticos",-40.6,"admin_projeto"
"Manufatura aditiva","Fabricação de equipamentos de informática, produtos eletrônicos e ópticos",10.3,"projeto_producao"
"Manufatura aditiva","Fabricação de máquinas, aparelhos e materiais elétricos",-15.1,"admin_producao"
"Manufatura aditiva","Fabricação de máquinas, aparelhos e materiais elétricos",-37.8,"admin_projeto"
"Manufatura aditiva","Fabricação de máquinas, aparelhos e materiais elétricos",22.7,"projeto_producao"
"Manufatura aditiva","Fabricação de máquinas e equipamentos",-10.8,"admin_producao"
"Manufatura aditiva","Fabricação de máquinas e equipamentos",-26.2,"admin_projeto"
"Manufatura aditiva","Fabricação de máquinas e equipamentos",15.4,"projeto_producao"
"Manufatura aditiva","Fabricação de veículos automotores, reboques e carrocerias",-9.4,"admin_producao"
"Manufatura aditiva","Fabricação de veículos automotores, reboques e carrocerias",-22.6,"admin_projeto"
"Manufatura aditiva","Fabricação de veículos automotores, reboques e carrocerias",13.2,"projeto_producao"
"Manufatura aditiva","Fabricação de outros equipamentos de transporte",-2.6,"admin_producao"
"Manufatura aditiva","Fabricação de outros equipamentos de transporte",-31,"admin_projeto"
"Manufatura aditiva","Fabricação de outros equipamentos de transporte",28.4,"projeto_producao"
"Manufatura aditiva","Fabricação de móveis",-5.7,"admin_producao"
"Manufatura aditiva","Fabricação de móveis",-8.4,"admin_projeto"
"Manufatura aditiva","Fabricação de móveis",2.7,"projeto_producao"
"Manufatura aditiva","Fabricação de produtos diversos",-15.6,"admin_producao"
"Manufatura aditiva","Fabricação de produtos diversos",-40.3,"admin_projeto"
"Manufatura aditiva","Fabricação de produtos diversos",24.7,"projeto_producao"
"Manufatura aditiva","Manutenção, reparação e instalação de máquinas e equipamentos",-6.5,"admin_producao"
"Manufatura aditiva","Manutenção, reparação e instalação de máquinas e equipamentos",-6.8,"admin_projeto"
"Manufatura aditiva","Manutenção, reparação e instalação de máquinas e equipamentos",0.3,"projeto_producao"
"Robótica","Fabricação de produtos alimentícios",-16.9,"admin_producao"
"Robótica","Fabricação de produtos alimentícios",-7.4,"admin_projeto"
"Robótica","Fabricação de produtos alimentícios",-9.5,"projeto_producao"
"Robótica","Fabricação de bebidas",-8.7,"admin_producao"
"Robótica","Fabricação de bebidas",-5.6,"admin_projeto"
"Robótica","Fabricação de bebidas",-3.1,"projeto_producao"
"Robótica","Fabricação de produtos do fumo",-18.3,"admin_producao"
"Robótica","Fabricação de produtos do fumo",0,"admin_projeto"
"Robótica","Fabricação de produtos do fumo",-18.3,"projeto_producao"
